review_index_1,review_index_2,_id_1,user_id_1,name_1,review_count_1,useful_1,average_stars_1,review_id_1,stars_1,useful_review_1,text_1,date_1,time_1,_id_2,user_id_2,name_2,review_count_2,useful_2,average_stars_2,review_id_2,stars_2,useful_review_2,text_2,date_2,time_2
1220,1221,65ddcc66fa4711915dcb3481,grFjhD2zEzfjo7Gbp8JvoQ,lovetoeat,309,126,4.0,xJB_fZ6OYqor6QbRJFDA6A,4,0,"Nice view restaurant. We were welcome downstairs by a nice gentleman, and he got the elevator for us to go to the 37th floor. Looks like the rest of the building is for condominiums or offices, which require key cards to get in. \nUpon arrival upstairs, we were warmly greeted by two lovely ladies. And we got seated to our reserved window table. \nThe view is very nice. The first thing we noticed is Philadelphia is flat. No hills, and no fog like San Francisco. A bit hazy, or is it pollution? \nTaylor was our server, she was extremely professional and courteous and friendly. The supporting staff too, but we failed to get their names. A lady we guessed was the manager came by and checked on how we were enjoying our meal too. \nThe oysters were from Nova Scotia, and nothing to rave about. No flavor, no sweetness like Kumamoto or Kushi, or Malpeque.. we liked the hors d' oeuvres, compliments of the chef. It was something like a sea salt lavash bread with avocado. Very nice. \nThe lobster looked good, but no dipping sauce and no lemon till we asked. The bone in rib eye was cooked to the desired temperature, but too fatty. This was not from a well marbled meat, it was just plain too much fat. The truffle sabayon was excellent though. The curry fingerling potatoes were good, the lobster Mac and cheese was over cooked, the cheese was a puddle of grease. \nWe ordered the warm vanilla cake for dessert. Just great presentation, but meh on the taste. \nThe pictures on Yelp were quite different from what we got. Could it be the kitchen was not up to standard tonight. Nevertheless, the excellent service and the view made up for the average but pricey meal.",2018-05-03,02:47:23,65ddcc66fa4711915dcb3482,grFjhD2zEzfjo7Gbp8JvoQ,lovetoeat,309,126,4.0,KE4TBB_w4Q1KCOJkdtTgrQ,4,0,"Nice view restaurant. We were welcome downstairs by a nice gentleman, and he got the elevator for us to go to the 37th floor. Looks like the rest of the building is for condominiums or offices, which require key cards to get in. \nUpon arrival upstairs, we were warmly greeted by two lovely ladies. And we got seated to our reserved window table. \nThe view is very nice. The first thing we noticed is Philadelphia is flat. No hills, and no fog like San Francisco. A bit hazy, or is it pollution? \nTaylor was our server, she was extremely professional and courteous and friendly. The supporting staff too, but we failed to get their names. A lady we guessed was the manager came by and checked on how we were enjoying our meal too. \nThe oysters were from Nova Scotia, and nothing to rave about. No flavor, no sweetness like Kumamoto or Kushi, or Malpeque.. we liked the hors d' oeuvres, compliments of the chef. It was something like a sea salt lavash bread with avocado. Very nice. \nThe lobster looked good, but no dipping sauce and no lemon till we asked. The bone in rib eye was cooked to the desired temperature, but too fatty. This was not from a well marbled meat, it was just plain too much fat. The truffle sabayon was excellent though. The curry fingerling potatoes were good, the lobster Mac and cheese was over cooked, the cheese was a puddle of grease. \nWe ordered the warm vanilla cake for dessert. Just great presentation, but meh on the taste. \nThe pictures on Yelp were quite different from what we got. Could it be the kitchen was not up to standard tonight. Nevertheless, the excellent service and the view made up for the average but pricey meal.\nA 20 percent gratuity was automatically added.",2018-05-05,14:53:19
1240,1241,65ddcc66fa4711915dcb3495,Et79VAN692zD2j32PM1E8w,Toni,404,753,3.66,MsFRQ43RfpfEkZ84TF_CIQ,4,0,"Brussels sprouts and bread pudding ... Is how you stole my heart! \n\nHere's a few juke tips to keep in mind before you arrive: \n\n1.  You need a reservation (at least on the weekends). The hostesses were not taking any walk ins. \n\n2.  The menu changes often, so do g come with your heart set on anything... Even their menu online is boy current. \n\n3. Try to get a table in the back room so you can watch the kitchen work their magic. \n\nWhat I ordered: \n\n1. Old fashioned: 4 stars because they use the good luxardo cherries. Beware they use Jim Beam if you don't ask for something else. \n\n2. Crispy Brussels sprouts with cheese and awesome sauce: 5 stars hands down best sprouts I've ever had \n\n3. Juke salad: 4 stars: tip you can order 1/2 sizes on the salads. Awesome house made buttermilk dressing and yummy yellow beets!\n\n4. Squash crepes: 2 stars ... I sent it back it was not flavors I enjoyed.. Heavy sage and thanksgiving stuffing taste. \n\n5. Jalapeño cheesy grits: 5 stars ... Best grits ever! \n\n6. Pecan bread pudding: 5 stars. We were drooling over this in the window do the chef sent one out for us... It was as amazing as it looked. \n\nDespite sending my entree back, we had a great meal. The service and food was spot on. Thanks Juke!",2014-12-07,16:04:06,65ddcc66fa4711915dcb3496,Et79VAN692zD2j32PM1E8w,Toni,404,753,3.66,aORMPH8StzmqSvEdq2QrFA,4,1,"Brussels sprouts and bread pudding ... Is how you stole my heart! \n\nHere's a few Luke tips to keep in mind before you arrive: \n\n1.  You need a reservation (at least on the weekends). The hostesses were not taking any walk ins. \n\n2.  The menu changes often, so do g come with your heart set on anything... Even their menu online is boy current. \n\n3. Try to get a table in the back room so you can watch the kitchen work their magic. \n\nWhat I ordered: \n\n1. Old fashioned: 4 stars because they use the good luxardo cherries. Beware they use Jim Beam if you don't ask for something else. \n\n2. Crispy Brussels sprouts with cheese and awesome sauce: 5 stars hands down best sprouts I've ever had \n\n3. Luke salad: 4 stars: tip you can order 1/2 sizes on the salads. Awesome house made buttermilk dressing and yummy yellow beets!\n\n4. Squash crepes: 2 stars ... I sent it back it was not flavors I enjoyed.. Heavy sage and thanksgiving stuffing taste. \n\n5. Jalapeño cheesy grits: 5 stars ... Best grits ever! \n\n6. Pecan bread pudding: 5 stars. We were drooling over this in the window do the chef sent one out for us... It was as amazing as it looked. \n\nDespite sending my entree back, we had a great meal. The service and food was spot on. Thanks Luke!",2016-09-25,13:54:14
1373,1378,65ddcc66fa4711915dcb351a,eTvp_hYnsrI5-ow_sQ31_g,Patt,1028,9050,4.05,oe4bUneD6JQ7QiqyIh0MIA,5,2,"Yesterday for an office birthday celebration. The celebrant gets to choose the restaurant, so we found ourselves again at Dewey's. I think the office is PIZZA CRAZY!\n\nThe expanded parking lot is a fabulous bonus for this location. We also make sure to arrive at 11:30 a.m., especially today, it being St. Patrick's Day.\n\nTwo of us wanted to get the seasonal Harvest salad. Our server suggested we get one big one to split, it being cheaper. When was the last time that happened to you . . . . server suggesting a less expensive way to go?? But he also explained that the large salad is exactly twice the size of the small salad. We didn't know that. (I overheard him telling another table the exact same thing.) So, that was the way we went, and it worked well.\n\nThat salad is just amazing. How people think up these flavor combinations is beyond me! The bite of the cheese with the sweet of the figs and the crunch of the toasted pepitos (pumpkin seeds). Other dining partners got the large House salad and the small Greek salad. Both enjoyed immensely.\n\nNow we had a pizza dilemma. Usually four of us split two large pies. Today one wanted to go rogue and get a calzone. So, our vegetarian dining partner got a small pizza with sundried tomatoes and mushrooms, which she loved.\n\nI split a large pie with the other non-calzone dining partner. It was a seasonal special (Tipitutu, that's not it, but something -- I couldn't even pronounce it when ordering -- just said the seasonal pizza). And it's not on the online menu.\n\nThis was knockdown ridiculous pizza with proscuitto, bacon and ham, lucious cheese, toasted sesame seeds, roasted red peppers and snappy banana peppers. Whoever dreamed up this pizza is a genius! I could not stop eating it . . . and the crust . . . well, it's Dewey's crust. Nuff said.\n\nThe saltiness of the meats combined beautifully with the cheese, smoothness of the roasted red peppers, the acidity of the banana peppers and the nuttiness of the sesame seeds. Killer, killer pie!\n\nNow to the calzone. She got meatballs, diced tomatoes and mushrooms. I guess cheese is already part of the mix. That dang thing could have served three people. The dough used looked like the pizza crust, which was confirmed upon departure, as we stopped by the pizza-making window and watched the tossing and assembly. She really enjoyed that calzone, eating probably 1/4 of it, so had wonderful, tasty leftovers.\n\nSo, as we're leaving, we stopped at the pizza-making window. Watching those talented people toss the pizza was mesmerizing. One tosser saw me watching intently, so he threw a little higher and twirled a little faster. Then looked at me smiling, and I gave him a big thumbs-up! What fun!!",2011-03-18,19:50:22,65ddcc66fa4711915dcb351f,eTvp_hYnsrI5-ow_sQ31_g,Patt,1028,9050,4.05,WrImo0H5yPzo_Iz0N8POug,5,3,"I don't know why this is listed as a new business. \n\nI was here February 18, 2011; and March 17, 2011.\n\nMy reviews are not showing in this new listing (nor are the other 56 reviews from the first listing, http://www.yelp.com/biz/deweys-pizza-saint-louis-2#hrid:oe4bUneD6JQ7QiqyIh0MIA/src:self).\n\nSo here is the latest, as written on March 18, 2011 (My review from the first visit must be in Yelp Hell.):\n\nYesterday for an office birthday celebration. The celebrant gets to choose the restaurant, so we found ourselves again at Dewey's. I think the office is PIZZA CRAZY!\n\nThe expanded parking lot is a fabulous bonus for this location. We also make sure to arrive at 11:30 a.m., especially today, it being St. Patrick's Day.\n\nTwo of us wanted to get the seasonal Harvest salad. Our server suggested we get one big one to split, it being cheaper. When was the last time that happened to you . . . . server suggesting a less expensive way to go?? But he also explained that the large salad is exactly twice the size of the small salad. We didn't know that. (I overheard him telling another table the exact same thing.) So, that was the way we went, and it worked well.\n\nThat salad is just amazing. How people think up these flavor combinations is beyond me! The bite of the cheese with the sweet of the figs and the crunch of the toasted pepitos (pumpkin seeds). Other dining partners got the large House salad and the small Greek salad. Both enjoyed immensely.\n\nNow we had a pizza dilemma. Usually four of us split two large pies. Today one wanted to go rogue and get a calzone. So, our vegetarian dining partner got a small pizza with sundried tomatoes and mushrooms, which she loved.\n\nI split a large pie with the other non-calzone dining partner. It was a seasonal special (Tipitutu, that's not it, but something -- I couldn't even pronounce it when ordering -- just said the seasonal pizza). And it's not on the online menu.\n\nThis was knockdown ridiculous pizza with proscuitto, bacon and ham, lucious cheese, toasted sesame seeds, roasted red peppers and snappy banana peppers. Whoever dreamed up this pizza is a genius! I could not stop eating it . . . and the crust . . . well, it's Dewey's crust. Nuff said.\n\nThe saltiness of the meats combined beautifully with the cheese, smoothness of the roasted red peppers, the acidity of the banana peppers and the nuttiness of the sesame seeds. Killer, killer pie!\n\nNow to the calzone. She got meatballs, diced tomatoes and mushrooms. I guess cheese is already part of the mix. That dang thing could have served three people. The dough used looked like the pizza crust, which was confirmed upon departure, as we stopped by the pizza-making window and watched the tossing and assembly. She really enjoyed that calzone, eating probably 1/4 of it, so had wonderful, tasty leftovers.\n\nSo, as we're leaving, we stopped at the pizza-making window. Watching those talented people toss the pizza was mesmerizing. One tosser saw me watching intently, so he threw a little higher and twirled a little faster. Then looked at me smiling, and I gave him a big thumbs-up! What fun!!",2012-02-26,19:11:21
2861,2863,65ddcc66fa4711915dcb3aea,LBV8oWri3DhnlzY7fFqUFA,Tracy,51,148,3.77,Z8JRHsQKYl6akqH72SBNcg,5,1,"When I was told about Ted Drewes when I first moved to Saint Louis, I was like ""yeah whatever"".....then it happened.  I started a mad love affair with this thing called frozen custard.  I know now why the Pope had it shipped to Vatican City.  If it is good enough for the Pope, it is good enough for me!!  It a must see for anyone new to St. Louis or visiting St. Louis.  My personal favorite is the Big Apple.  A piece of apple pie mixed into frozen vanilla custard.  Heavenly (hey the Pope likes it remember!?!?!)!!!!  There is nothing like this place in or out of St. Louis.  Another thing about Ted Drewes that has always amazed me was their speed.  I have seen crowds spilling into the streets at both locations and have never had to wait more than five minutes!",2011-06-28,21:43:32,65ddcc66fa4711915dcb3aec,LBV8oWri3DhnlzY7fFqUFA,Tracy,51,148,3.77,WUF6_9Dy6XOBg3uSUayU1A,5,0,"When I was told about Ted Drewes when I first moved to Saint Louis, I was like ""yeah whatever"".....then it happened.  I started a mad love affair with this thing called frozen custard.  I know now why the Pope had it shipped to Vatican City.  If it is good enough for the Pope, it is good enough for me!!  It a must see for anyone new to St. Louis or visiting St. Louis.  My personal favorite is the Big Apple.  A piece of apple pie mixed into frozen vanilla custard.  Heavenly (hey the Pope likes it remember!?!?!)!!!!  There is nothing like this place in or out of St. Louis.  I love this location as it close to my neighborhood and love supporting ""the hood"".  You cannot go wrong with either location though.  Unfortunately, this location is only open from about May - September (I do not have exact dates but I am close).  You can always hit the Chippewa location if this one is closed.  Another thing about Ted Drewes that has always amazed me was their speed.  I have seen crowds spilling into the streets at both locations and have never had to wait more than five minutes!",2011-06-28,21:37:22
3021,3027,65ddcc66fa4711915dcb3b8a,u1cvQWB0lB4YsIbtSlUR7g,Barb,150,150,4.21,nyDd_0RyrZbqOuSeVfGrPA,5,1,"What can I say, back again and sat at the bar again and amazing!!! This is my place STL!! Wow! Great food paired with a great caring staff that always knows us and amazing food! They always know what is great as they eat the food! Ask... they are amazing!!! Thanks all for the usual amazing service at the bar... Carmen u are a star and an amazing sommelier with incredible taste! \nI could walk in and have u order the entire meal/drinks and your famous manhattan !! Wow! The best in STL!!! Thanks Farmhaus!",2017-05-31,06:41:24,65ddcc66fa4711915dcb3b90,u1cvQWB0lB4YsIbtSlUR7g,Barb,150,150,4.21,_xZi1kXceXCIvZRP5-Ne5w,5,1,"What can I say, back again and sat at the bar again and amazing!!! This is my place STL!! Wow! Great food paired with a great caring staff that always knows us and amazing food! They always know what is great as they eat the food! Ask... they are amazing!!! Thanks all for the usual amazing service at the bar... Carmen u are a star and an amazing sommelier with incredible taste! \nI could walk in and have u order the entire meal/drinks and your famous manhattan !! Wow! The best in STL!!! Thanks Farmhaus!",2017-04-29,05:33:57
3022,3028,65ddcc66fa4711915dcb3b8b,u1cvQWB0lB4YsIbtSlUR7g,Barb,150,150,4.21,wgYsmcte3C4R9ZY3gp-WIg,4,2,Brand new space since the tornado hit the airport 2 years ago. Space is clean open and a great retreat from the airport chaos. Had a few free glasses of wine and just chilled. Snacks are free and they do have a food menu to order from if u are looking for a meal! Friendly staff and great service. U might miss it like other reviews but if u are taking off from c6 u have plenty of time : )!,2015-06-04,17:15:54,65ddcc66fa4711915dcb3b91,u1cvQWB0lB4YsIbtSlUR7g,Barb,150,150,4.21,yA4bQsoWMNEW6neYEh4CBA,4,0,Brand new space since the tornado hit the airport 2 years ago. Space is clean open and a great retreat from the airport chaos. Had a few free glasses of wine and just chilled. Snacks are free and they do have a food menu to order from if u are looking for a meal! Friendly staff and great service. U might miss it like other reviews but if u are taking off from c6 u have plenty of time : )!,2015-04-25,20:48:00
3420,3550,65ddcc66fa4711915dcb3d19,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,3.69,ibSzTgZARkqKfGrui5zZLA,3,2,"We bought our 2007 Hyundai Sonata from Fred Beans.  Over the years my family and my husband's family have each bought many different cars - new and pre-owned - of different makes from Fred Beans.\n\nBetween them and Foster & Kardane (and we were friendly with the Kardane clan back in the '80's) they pretty much OWN the D-town automotive scene.\n\nCompetitive prices and salespeople who don't make you feel like a target.\n\nGood repair work, too.\n\nI'm sorry to hear that Sub S. had a bad experience.  Ours has been fine - and we still have and love our car 4 years later.",2011-01-18,16:00:11,65ddcc66fa4711915dcb3d9b,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,3.69,MlHH8YoEeH5A3KspMCoH0A,4,2,"We bought our 2007 Hyundai Sonata from Fred Beans.  Over the years my family and my husband's family have each bought many different cars - new and pre-owned - of different makes from Fred Beans.\n\nBetween them and Foster & Kardane (and we were friendly with the Kardane clan back in the '80's) they pretty much OWN the D-town automotive scene.\n\nCompetitive prices and salespeople who don't make you feel like a target.\n\nGood repair work, too.\n\nI'm a fan.",2009-05-05,20:43:05
3453,3521,65ddcc66fa4711915dcb3d3a,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,3.69,tM6ASXZshUhWMoNhdToWNQ,4,4,"A great place to get a salad, pizza or (rich and tasty) pasta for lunch.  Kinda pricey - but the portions (of pasta anyhow) are big.  I can eat half for lunch and the rest later. (dinner!!!)\n\nI have been there now a bunch of times - many for lunch (and it is usually hoppin') and another time for a quick dinner. (They close at 7 PM.)\n\nBoth times I had pasta dishes - but my husband had pizza (he said it was good but not great.) and a friend had a salad that he LOVED.\n\nI really enjoyed my fresh fettuccine dish and a was able to substitute marinara for the usual rich cream sauce.\n\nThe cashier was freiendly even though she was slammed with customers, and my order was processed relatively quickly.\n\nI'll return.",2010-05-23,13:46:29,65ddcc66fa4711915dcb3d7e,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,3.69,K-fRMoYsj45tDxZfCxho5Q,4,1,"I am reviewing the Le Scala offshoot in the COMCAST center.  I have been there now twice - once for lunch (and it was hoppin') and another time for a quick dinner. (They close at 7 or 8 PM.)\n\nBoth times I had pasta dishes - but my husband had pizza (he said it was good but not great.) and a friend had a salad that he LOVED.\n\nI really enjoyed my fresh fettuccine dish and a was able to substitute marinara for the usual rich cream sauce.\n\nThe cashier was freiendly even though she was slammed with customers, and my order was processed relatively quickly both times.\n\nI'll return.",2008-10-13,22:12:56
3474,3526,65ddcc66fa4711915dcb3d4f,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,3.69,WUZa6GNZHHG_2fTE6zsssA,5,3,"OMG I echo Emily A.  I just discovered the Italian Market (I know, I know -what took me so long) and I went to Claudio's for home-made ricotta (so creamy, fresh and good - and CHEAP - $2.99 a lb.) and mozzarella.\n\nCan't weait to pre-order a Burrate for later this month.  Burrata is Mozzarella with a creamy-buttery cream in the middle - so decadent.\n\nI have FOUND my source for mozzarella.  Hooray!",2009-01-12,14:20:13,65ddcc66fa4711915dcb3d83,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,3.69,cNi557dQUGot_qsm5DDDnw,5,2,"I recently discovered the Italian Market (I know, I know -what took me so long?) and I went to Claudio's for home-made ricotta (so creamy, fresh and good - and CHEAP - $2.99 a lb.) and mozzarella.\n\nCan't weait to pre-order a Burrata for later this month.  Burrata is Mozzarella with a creamy-buttery cream in the middle - so decadent.\n\nI have FOUND my source for mozzarella.  Hooray!",2010-12-27,16:48:57
3508,3551,65ddcc66fa4711915dcb3d71,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,3.69,472DKLHv7UVLZFki9u5xYg,4,2,"I returned to Jay's tonight - and this time I put them to the test.  I ordered the sushi/sashimi ""pick 3"" - and had Salmon sashimi (very good), Yellowtail nigiri (Good - but not orgasmic) and Ikura.\n\nI am VERY picky about Ikura (- it has to be ""poppin' fresh) and this was very, very fresh and good. BUT - I get the feeling not too many people order it.\n\nI also reprised the fair Eggplant Lady (appetixer) and she deserves a starring role.  Jay accomodated me with very light on the sauce (both in the shrimp mixture and on top) and 2 lusciously crispy eggplant slices.\n\nIt was raining so the place was not crowded, but the delivery was HOPPIN'. (Yes, they deliver, thank goodness!)\n\nAlso Jay showed me several goreous salt-molds he makes to serve on the sushi platters.  (Kinda like ice sculpture - but made with molded salt.)\n\nMartin was there, too.\n\nNice guys at the bar.\n\nI can't wait to take my 5 year old and husband here.  They will love it.\n\nOh - and did I mention the pick 3 sahimi/sushi was $8.50?  What a deal - the items I ordered would have cost $15 a la carte!",2010-05-12,00:42:06,65ddcc66fa4711915dcb3d9c,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,3.69,bFsVG_qfpkVr5e3Vv_Ipdw,4,2,"I returned to Jay's a few weeks ago - and this time I put them to the test.  I ordered the sushi/sashimi ""pick 3"" - and had Salmon sashimi (very good), Yellowtail nigiri (Good - but not orgasmic) and Ikura.\n\nI am VERY picky about Ikura (- it has to be ""poppin' fresh) and this was very, very fresh and good. BUT - I get the feeling not too many people order it.\n\nI also reprised the fair Eggplant Lady (appetixer) and she deserves a starring role.  Jay accomodated me with very light on the sauce (both in the shrimp mixture and on top) and 2 lusciously crispy eggplant slices.\n\nIt was raining so the place was not crowded, but the delivery was HOPPIN'. (Yes, they deliver, thank goodness!)\n\nAlso Jay showed me several goreous salt-molds he makes to serve on the sushi platters.  (Kinda like ice sculpture - but made with molded salt.)\n\nMartin was there, too.\n\nNice guys at the bar.\n\nI can't wait to take my 5 year old and husband here.  They will love it.\n\nOh - and did I mention the pick 3 sahimi/sushi was $8.50?  What a deal - the items I ordered would have cost $15 a la carte!",2010-09-27,19:36:40
